Habituality,Sentence,POS1,POS2,POS3,POS4,POS5,POS6,A1,A2,A3,A4,A5,SynPar1,SynPar2,SynPar3,SynPar4,R1
-1,"Let's see- And, uh, if you didn't know already, my name is Quanette and I will be, the interviewer of the day.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-1,"It might be twenty- twenty-eighteen, before we have another one.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"It wasn't as big as I thought it would be.
",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-1,"It used to be so hot.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"And I had- My major was gonna be nursing.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"I knew it was gonna be math.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"The two-thousands finna be considered old.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,"Ninety-six babies, is finna be twenty-one.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"Gianfranco is about to be twenty-one in a little while.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Some of that stuff, you be like what?
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"Elysa be showing me some work.
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,"Hey, but would you be able to do that without like that- that paper right in front of you.
",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,"So I just be like Oh, shit .
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"I just be liking the beat to a hip hop song.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"I be listening to the beats.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"Right, like And then I be seeing these videos.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"These mama's be letting they little boys dance and stuff.
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-1,"It going to be an interesting time to wonder.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"Boy that'd be fire, if they all playing it together.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Obamacare be like, okay.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,"I be trying to either get too deep into politics and stuff.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"I be listening to it- Mm-hm.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"but I don't really be - I don't never really have a response.
",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
-1,"That would be kind of turnt though.
",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"What- where Harriet Tubman sposta be?
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,"We get twenty-five, I'm'a be cool.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,"I don't be working out.
",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1,"I be still trying to workout-  I wanna workout, but I wanna gain some weight, then workout.
",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
1,"I mean I told that man Dalisa, if it be a little boy,  Yeah.
",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
-1,"Man and it came around to be a little boy.
",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1,"Me and Carolyne gonna be like you and Miss Carolyne, that's it.
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,"That shit gonna be crazy.
",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"I don't really be playing video games.
",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,"I just be playing games on my phone.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,"And then I be playing the, um, Game Pigeon, games.
",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
-1,"Um, my name is Skipper, and today I will be interviewing Clarise.
",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1,"Once we get over that fact, then we'll be able to conquer this whole thing and get past it.
",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-1,"But until then, as long as we're tryna become equal to them, we will always be in a struggle with them.
",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,"Now once you got close up on him, you probably be like, oh okay, he got curly hair.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"Cause I was that kid that- you know how you had that kid growing up in school that your parents be like, stay away from them.
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,"And after being surrounded by so many messed up bad people your whole life, you kind of have that urge to just be surrounded by people who just are on the same shit you on, who just want the same things out of life you want.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1,"So when we stopped the truck, I thought we were at a truck stop somewhere Oh no, this can't be good.
",0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
-1,"It's directly in front of your face, cannot be avoided.
",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
